Symbol,Security,GICS Sub-Industry
ABNB,Airbnb,"Hotels, Resorts & Cruise Lines"
AMZN,Amazon,Broadline Retail
APTV,Aptiv,Automotive Parts & Equipment
AZO,AutoZone,Automotive Retail
BBY,Best Buy,Computer & Electronics Retail
BKNG,Booking Holdings,"Hotels, Resorts & Cruise Lines"
CCL,Carnival,"Hotels, Resorts & Cruise Lines"
CMG,Chipotle Mexican Grill,Restaurants
CZR,Caesars Entertainment,Casinos & Gaming
DASH,DoorDash,Specialized Consumer Services
DECK,Deckers Brands,Footwear
DHI,D. R. Horton,Homebuilding
DPZ,Domino's,Restaurants
DRI,Darden Restaurants,Restaurants
EBAY,eBay Inc.,Broadline Retail
EXPE,Expedia Group,"Hotels, Resorts & Cruise Lines"
F,Ford Motor Company,Automobile Manufacturers
GM,General Motors,Automobile Manufacturers
GPC,Genuine Parts Company,Distributors
GRMN,Garmin,Consumer Electronics
HAS,Hasbro,Leisure Products
HD,Home Depot (The),Home Improvement Retail
HLT,Hilton Worldwide,"Hotels, Resorts & Cruise Lines"
KMX,CarMax,Automotive Retail
LEN,Lennar,Homebuilding
LKQ,LKQ Corporation,Distributors
LOW,Lowe's,Home Improvement Retail
LULU,Lululemon Athletica,"Apparel, Accessories & Luxury Goods"
LVS,Las Vegas Sands,Casinos & Gaming
MAR,Marriott International,"Hotels, Resorts & Cruise Lines"
MCD,McDonald's,Restaurants
MGM,MGM Resorts,Casinos & Gaming
MHK,Mohawk Industries,Home Furnishings
NCLH,Norwegian Cruise Line Holdings,"Hotels, Resorts & Cruise Lines"
NKE,"Nike, Inc.","Apparel, Accessories & Luxury Goods"
NVR,"NVR, Inc.",Homebuilding
ORLY,O’Reilly Automotive,Automotive Retail
PHM,PulteGroup,Homebuilding
POOL,Pool Corporation,Distributors
RCL,Royal Caribbean Group,"Hotels, Resorts & Cruise Lines"
RL,Ralph Lauren Corporation,"Apparel, Accessories & Luxury Goods"
ROST,Ross Stores,Apparel Retail
SBUX,Starbucks,Restaurants
TJX,TJX Companies,Apparel Retail
TPR,"Tapestry, Inc.","Apparel, Accessories & Luxury Goods"
TSCO,Tractor Supply,Other Specialty Retail
TSLA,"Tesla, Inc.",Automobile Manufacturers
ULTA,Ulta Beauty,Other Specialty Retail
WSM,"Williams-Sonoma, Inc.",Homefurnishing Retail
WYNN,Wynn Resorts,Casinos & Gaming
YUM,Yum! Brands,Restaurants
