sector,symbol_a,security_a,symbol_b,security_b,subindustry,n_days,pearson_r,p_value,mean_log_rel_pe,ci99_low,ci99_high,exp_mean_log_rel_pe
Consumer Discretionary,HLT,Hilton Worldwide,MAR,Marriott International,"Hotels, Resorts & Cruise Lines",1255,0.9793746712001136,0.0,0.350434945418316,0.3385060415504039,0.36236384928622806,1.4196848997690992
Consumer Discretionary,DHI,D. R. Horton,LEN,Lennar,Homebuilding,1255,0.9696694729047683,0.0,0.028140487567598186,0.022247038387284975,0.0340339367479114,1.0285401713787308
Consumer Discretionary,DHI,D. R. Horton,PHM,PulteGroup,Homebuilding,1255,0.9596539434074943,0.0,0.15666521084277388,0.14895266963637752,0.16437775204917024,1.169603977616826
Consumer Discretionary,LEN,Lennar,PHM,PulteGroup,Homebuilding,1255,0.9584227282821117,0.0,0.1285247232751757,0.12231186705930183,0.13473757949104956,1.1371495350045522
Consumer Discretionary,ABNB,Airbnb,EXPE,Expedia Group,"Hotels, Resorts & Cruise Lines",1144,0.956035535595607,0.0,0.6540300650775523,0.5996467482553096,0.7084133818997951,1.923276159687139
Consumer Discretionary,HD,Home Depot (The),LOW,Lowe's,Home Improvement Retail,1255,0.9388744488977095,0.0,0.20538037504623305,0.20121344294196924,0.20954730715049685,1.2279920736801158
Consumer Discretionary,GM,General Motors,TSLA,"Tesla, Inc.",Automobile Manufacturers,1255,0.8532300730747933,0.0,-2.774193870487164,-2.8074994023531077,-2.7408883386212204,0.06239975870712901
Consumer Discretionary,LVS,Las Vegas Sands,WYNN,Wynn Resorts,Casinos & Gaming,705,0.9275816286057155,8.505199972682042e-303,-0.04882220958880877,-0.1155016089404288,0.017857189762811254,0.9523504334229259
Consumer Discretionary,NVR,"NVR, Inc.",PHM,PulteGroup,Homebuilding,1255,0.8148901955940224,4.527764327526891e-299,0.6703497768988051,0.6587128398608384,0.6819867139367719,1.954920987263907
Consumer Discretionary,MCD,McDonald's,YUM,Yum! Brands,Restaurants,1255,0.7855318112596963,1.9442086335723155e-263,-0.05505793155457413,-0.05868215645505747,-0.051433706654090784,0.9464303181856838
