symbol_a,symbol_b,n_days,pearson_r,adf_t,half_life,exc_ge_1_5,revert_rate,spread_sd,score,mean_log_rel_pe,subindustry,security_a,security_b,corr_z,adf_z,hl_z,exc_z,rev_z
MCD,YUM,1255,0.7855318112596961,-4.45730918443824,22.609677900070682,21,1.0,0.04976894510399031,2.697975428351695,-0.05505793155457413,Restaurants,McDonald's,Yum! Brands,0.683050538740065,1.8029479941466742,0.2628776386852552,12.815324430055309,0.6744907594765952
DHI,LEN,1255,0.9696694729047683,-4.3144318651029785,24.078711290166623,15,1.0,0.08093061462301841,2.1585292860616985,0.028140487567598186,Homebuilding,D. R. Horton,Lennar,0.9428485975891805,1.703436561711248,0.3355475471505595,8.768379873195737,0.6744907594765952
LEN,PHM,1255,0.9584227282821115,-3.984903014668508,26.505751341261266,12,0.9166666666666666,0.08531680798991635,1.7843840521809964,0.1285247232751757,Homebuilding,Lennar,PulteGroup,0.9269806735847476,1.4739257612000254,0.44640932764156604,6.7449075947659525,0.36790405062359727
DRI,MCD,1255,0.5971385255187766,-3.624932848709286,40.92015106280161,12,0.9166666666666666,0.11814927562945284,1.6690488225415356,-0.2666344983826321,Restaurants,Darden Restaurants,McDonald's,0.4172482607137577,1.2232131427433064,0.9477225718216451,6.7449075947659525,0.36790405062359727
HD,LOW,1255,0.9388744488977098,-2.45919704273978,65.2505644187702,11,0.9090909090909091,0.05722156346354278,1.4429091310451838,0.20538037504623305,Home Improvement Retail,Home Depot (The),Lowe's,0.8994001938907195,0.41129953439033873,0.6284920541164198,6.070416835289357,0.3400325316369612
DRI,YUM,1255,0.5264859274704624,-4.031560458904989,36.983349482564236,9,1.0,0.12250520757158709,1.413729154647526,-0.3216924299372062,Restaurants,Darden Restaurants,Yum! Brands,0.3175651884860941,1.5064218153767812,0.8309488542970895,4.721435316336167,0.6744907594765952
ROST,TJX,1255,0.6945761810822686,-1.9651443824458315,97.44470041245974,9,0.8888888888888888,0.11787056305823723,0.9511064596624381,-0.09480616187232431,Apparel Retail,Ross Stores,TJX Companies,0.5547221134174877,0.06720091780710967,0.16551725317198132,4.721435316336167,0.2657084810059313
ABNB,EXPE,1144,0.9560355355956068,-3.367128762411987,54.327680531076886,3,1.0,0.7129118773592527,0.8746168296848356,0.6540300650775523,"Hotels, Resorts & Cruise Lines",Airbnb,Expedia Group,0.923612606343576,1.043657324965453,0.8399801333562538,0.6744907594765952,0.6744907594765952
DHI,PHM,1255,0.9596539434074945,-2.1934308718430566,93.7042765952972,5,1.0,0.10591093280723607,0.7482752386163154,0.15666521084277388,Homebuilding,D. R. Horton,PulteGroup,0.9287177831838515,0.22619827071983392,0.21070209134537052,2.023472278429786,0.6744907594765952
EXPE,MAR,1144,0.7900857541904566,-3.0875624809488964,65.44040208538767,3,1.0,0.3757006074546649,0.7127291888588845,-0.24063810025949872,"Hotels, Resorts & Cruise Lines",Expedia Group,Marriott International,0.6894756530971795,0.8489445373902751,0.6251383435650651,0.6744907594765952,0.6744907594765952
