sector,symbol_a,security_a,symbol_b,security_b,n_days,pearson_r,p_value,mean_log_rel_pe,ci99_low,ci99_high,exp_mean_log_rel_pe
Health Care,MRK,Merck & Co.,VTRS,Viatris,734,0.9982492152587512,0.0,1.6194026305643643,1.5844619420677504,1.6543433190609782,5.050072656271996
Health Care,PFE,Pfizer,VTRS,Viatris,734,0.9742572152409543,0.0,0.8200640049091984,0.7550542171330075,0.8850737926853893,2.2706451653191384
Health Care,AMGN,Amgen,BMY,Bristol Myers Squibb,1005,0.9616843780397892,0.0,0.44788784866368436,0.44016874639302306,0.45560695093434567,1.5650031686142114
Health Care,BAX,Baxter International,INCY,Incyte,924,0.9589007198465246,0.0,-0.9008457894276374,-0.9670111636261209,-0.8346804152291538,0.4062259328015886
Health Care,CAH,Cardinal Health,ZBH,Zimmer Biomet,1255,0.9534311166287052,0.0,0.004020318227804321,-0.029513326457107816,0.037553962912716454,1.0040284105480641
Health Care,BMY,Bristol Myers Squibb,GILD,Gilead Sciences,1005,0.948434117238626,0.0,-0.169003166980048,-0.182644519296066,-0.15536181466402998,0.8445062288474221
Health Care,DHR,Danaher Corporation,MDT,Medtronic,1255,0.9316416545770774,0.0,0.44349820676425505,0.43532870193786727,0.45166771159064284,1.5581484210829915
Health Care,BAX,Baxter International,GILD,Gilead Sciences,924,0.920237465359748,0.0,-0.4223626400639372,-0.5482895723773639,-0.29643570775051054,0.6554962870713344
Health Care,MCK,McKesson Corporation,VRTX,Vertex Pharmaceuticals,1006,0.9154532769879723,0.0,-0.3290319278529061,-0.3409653256968983,-0.31709853000891386,0.7196200404574855
Health Care,LLY,Lilly (Eli),REGN,Regeneron Pharmaceuticals,1255,0.9083122748999052,0.0,1.1922257662597424,1.175386066022044,1.2090654664974407,3.2944056300301576
Health Care,BDX,Becton Dickinson,COO,Cooper Companies (The),1255,0.9045476080052508,0.0,0.16166511022197458,0.1188205254841012,0.20450969495984794,1.1754665236754818
Health Care,BMY,Bristol Myers Squibb,MCK,McKesson Corporation,1005,0.8932365173090203,0.0,-0.4866298732381057,-0.5004354191860971,-0.4728243272901142,0.6146945057321116
