rank,symbol_a,symbol_b,compat_label,event_risk,n_trades,total_return,avg_hold_days,hit_rate,avg_trade_return,max_drawdown
1,DHR,MDT,adjacent,high,8,0.37758557733161746,40.375,1.0,0.04719819716645218,-0.062028571394988574
2,ALGN,WST,same_subindustry,medium,7,0.27048393530087206,70.28571428571429,0.7142857142857143,0.03864056218583887,-0.24194171043025092
3,HSIC,MDT,loose,high,7,0.2158388607170717,65.0,0.8571428571428571,0.030834122959581673,-0.09930883545470598
4,MCK,VRTX,loose,medium,8,0.1794428725654375,68.625,0.875,0.022430359070679688,-0.3059781075984173
5,AMGN,BMY,adjacent,high,8,0.12854657369102546,44.5,0.875,0.016068321711378182,-0.2559097421745432
6,HUM,WAT,loose,high,13,0.33203731976019707,29.46153846153846,0.7692307692307693,0.02554133228924593,-0.42030524610671155
7,BMY,GILD,adjacent,high,2,-0.11072892992662264,142.5,0.5,-0.05536446496331132,-0.21802475049548442
8,MCK,SYK,loose,high,3,-0.006763549836849514,116.0,0.6666666666666666,-0.0022545166122831715,-0.32672867174108494
9,HSIC,VRTX,loose,medium,5,0.04684493005038198,54.6,0.6,0.009368986010076397,-0.19678947485217424
10,IDXX,MTD,adjacent,medium,6,-0.001729594600074047,77.66666666666667,0.5,-0.00028826576667900783,-0.2148141453685835
