rank,symbol_a,security_a,symbol_b,security_b,subindustry_a,subindustry_b,compat_label,compat_score,compat_detail,event_risk,large_spread_jumps,jump_with_eps_step,jump_eps_step_share,n_days,pearson_r,adf_t,half_life,exc_ge_1_5,revert_rate,score,n_trades,total_return,hit_rate,avg_hold_days,max_drawdown
1,DHR,Danaher Corporation,MDT,Medtronic,Life Sciences Tools & Services,Health Care Equipment,adjacent,1,Life Sciences Tools & Services vs Health Care Equipment,high,13,9,0.692,1255,0.9316416545770774,-4.666528620794221,21.9268567878501,10,1.0,1.6565464809034012,8,0.37758557733161746,1.0,40.375,-0.062028571394988574
2,ALGN,Align Technology,WST,West Pharmaceutical Services,Health Care Supplies,Health Care Supplies,same_subindustry,2,Both: Health Care Supplies,medium,13,3,0.231,1255,0.8240218215985093,-3.4299587365937234,36.038587625164034,10,0.9,1.0525033015037006,7,0.27048393530087206,0.7142857142857143,70.28571428571429,-0.24194171043025092
3,HSIC,Henry Schein,MDT,Medtronic,Health Care Distributors,Health Care Equipment,loose,0,Health Care Distributors vs Health Care Equipment,high,13,11,0.846,1255,0.8229647364903871,-3.661345182904157,35.90957285873884,8,1.0,1.0260292833920794,7,0.2158388607170717,0.8571428571428571,65.0,-0.09930883545470598
4,MCK,McKesson Corporation,VRTX,Vertex Pharmaceuticals,Health Care Distributors,Biotechnology,loose,0,Health Care Distributors vs Biotechnology,medium,11,4,0.364,1006,0.9154532769879725,-2.860062095443546,47.06519198868769,6,1.0,0.8815113306175071,8,0.1794428725654375,0.875,68.625,-0.3059781075984173
5,AMGN,Amgen,BMY,Bristol Myers Squibb,Biotechnology,Pharmaceuticals,adjacent,1,Biotechnology vs Pharmaceuticals,high,11,5,0.455,1005,0.9616843780397892,-3.8979374499142465,22.790579237517626,3,1.0,0.7193628552788115,8,0.12854657369102546,0.875,44.5,-0.2559097421745432
6,HUM,Humana,WAT,Waters Corporation,Managed Health Care,Life Sciences Tools & Services,loose,0,Managed Health Care vs Life Sciences Tools & Services,high,13,8,0.615,1255,0.6783887141861003,-4.108390126736698,25.366488524451537,10,0.9,0.6444858361885247,13,0.33203731976019707,0.7692307692307693,29.46153846153846,-0.42030524610671155
7,BMY,Bristol Myers Squibb,GILD,Gilead Sciences,Pharmaceuticals,Biotechnology,adjacent,1,Pharmaceuticals vs Biotechnology,high,11,9,0.818,1005,0.948434117238626,-2.5121383911332043,63.96823810715526,5,1.0,0.493237151736409,2,-0.11072892992662264,0.5,142.5,-0.21802475049548442
8,MCK,McKesson Corporation,SYK,Stryker Corporation,Health Care Distributors,Health Care Equipment,loose,0,Health Care Distributors vs Health Care Equipment,high,13,7,0.538,1255,0.8223864272149163,-3.1575204181862935,49.132840578240355,4,1.0,0.49257053699571185,3,-0.006763549836849514,0.6666666666666666,116.0,-0.32672867174108494
9,HSIC,Henry Schein,VRTX,Vertex Pharmaceuticals,Health Care Distributors,Biotechnology,loose,0,Health Care Distributors vs Biotechnology,medium,11,4,0.364,1006,0.7896918456109471,-2.665152717443366,51.4726070220384,7,1.0,0.43373940109289255,5,0.04684493005038198,0.6,54.6,-0.19678947485217424
10,IDXX,Idexx Laboratories,MTD,Mettler Toledo,Health Care Equipment,Life Sciences Tools & Services,adjacent,1,Health Care Equipment vs Life Sciences Tools & Services,medium,13,4,0.308,1255,0.7859942784084156,-3.2711326293215603,40.81673519456413,4,1.0,0.4237138941549451,6,-0.001729594600074047,0.5,77.66666666666667,-0.2148141453685835
